"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
408,,49.80301840e-3,MOSI,2,0x9800,OK
409,,49.80301840e-3,MISO,2,0xF800,OK
410,,49.82251920e-3,MOSI,2,0x0200,OK
411,,49.82251920e-3,MISO,2,0x01FF,OK
412,,49.84202000e-3,MOSI,2,0x087F,OK
413,,49.84202000e-3,MISO,2,0xFFFF,OK
414,,49.86152080e-3,MOSI,2,0x1480,OK
415,,49.86152080e-3,MISO,2,0x0F80,OK
416,,49.88102160e-3,MOSI,2,0x1A07,OK
417,,49.88102160e-3,MISO,2,0x07FF,OK
418,,49.90052240e-3,MOSI,2,0x1226,OK
419,,49.90052240e-3,MISO,2,0xFFFE,OK
420,,49.92002320e-3,MOSI,2,0x020C,OK
421,,49.92002320e-3,MISO,2,0x01FF,OK
422,,49.93951760e-3,MOSI,2,0x9A00,OK
423,,49.93951760e-3,MISO,2,0xFFFF,OK
424,,49.95901840e-3,MOSI,2,0x1AFF,OK
425,,49.95901840e-3,MISO,2,0xFFFF,OK
426,,49.97851920e-3,MOSI,2,0x8800,OK
427,,49.97851920e-3,MISO,2,0xFFFF,OK
428,,49.99802000e-3,MOSI,2,0x0200,OK
429,,49.99802000e-3,MISO,2,0xFE00,OK
430,,50.01752080e-3,MOSI,2,0x9400,OK
431,,50.01752080e-3,MISO,2,0x7FFF,OK
432,,50.03702160e-3,MOSI,2,0x9200,OK
433,,50.03702160e-3,MISO,2,0xF1FF,OK
434,,50.05652240e-3,MOSI,2,0x9800,OK
435,,50.05652240e-3,MISO,2,0xF800,OK
436,,50.07602320e-3,MOSI,2,0x0200,OK
437,,50.07602320e-3,MISO,2,0x01FF,OK
438,,50.09552400e-3,MOSI,2,0x087F,OK
439,,50.09552400e-3,MISO,2,0xFFFF,OK
440,,50.11501840e-3,MOSI,2,0x1480,OK
441,,50.11501840e-3,MISO,2,0x0F80,OK
442,,50.13451920e-3,MOSI,2,0x1A07,OK
443,,50.13451920e-3,MISO,2,0x07FF,OK
444,,50.15402000e-3,MOSI,2,0x1226,OK
445,,50.15402000e-3,MISO,2,0xFFFE,OK
446,,50.17352080e-3,MOSI,2,0x020C,OK
447,,50.17352080e-3,MISO,2,0x01FF,OK
448,,50.19302160e-3,MOSI,2,0x9A00,OK
449,,50.19302160e-3,MISO,2,0xFFFF,OK
450,,50.21252240e-3,MOSI,2,0x1AFF,OK
451,,50.21252240e-3,MISO,2,0xFFFF,OK
452,,50.23202320e-3,MOSI,2,0x8800,OK
453,,50.23202320e-3,MISO,2,0xFFFF,OK
454,,50.25151760e-3,MOSI,2,0x0200,OK
455,,50.25151760e-3,MISO,2,0xFE00,OK
456,,50.27101840e-3,MOSI,2,0x9400,OK
457,,50.27101840e-3,MISO,2,0x7FFF,OK
458,,50.29051920e-3,MOSI,2,0x9200,OK
459,,50.29051920e-3,MISO,2,0xF1FF,OK
460,,50.31002000e-3,MOSI,2,0x9800,OK
461,,50.31002000e-3,MISO,2,0xF800,OK
462,,50.32952080e-3,MOSI,2,0x0200,OK
463,,50.32952080e-3,MISO,2,0x01FF,OK
464,,50.34902160e-3,MOSI,2,0x087F,OK
